,Neisseria elongata C2011003085,Neisseria elongata subsp. glycolytica 431 NMEN,Neisseria elongata subsp. glycolytica 404 NMEN,Neisseria elongata subsp. elongata ATCC 25295,Neisseria elongata subsp. glycolytica NCTC11050,Neisseria elongata M15910,Neisseria elongata subsp. glycolytica 1279 NMEN,Neisseria elongata C2013018262,Neisseria elongata C2014003241,Neisseria elongata subsp. glycolytica ATCC 29315 ATCC 29315,Neisseria elongata NCTC10660,Neisseria elongata M15911,Kingella potus NCTC13336,Kingella potus 3 SID 1128,Neisseria bacilliformis 203 NMEN,Neisseria bacilliformis 914 NLAC,Neisseria bacilliformis DSM 23338,Neisseria bacilliformis ATCC BAA 1200,Neisseria shayeganii DSM22244,Neisseria shayeganii 871,Eikenella corrodens FDAARGOS 1474,Eikenella corrodens ATCC 23834 ATCC 23834,Eikenella sp. NML03-A-027 NML03-A-027,Eikenella exigua PXX,Eikenella sp. NML96-A-049 NML96-A-049,Eikenella longinqua NML02-A-017,Eikenella sp. NML99-0057 NML99-0057,Eikenella corrodens EI 07,Eikenella sp. NML070372 NML070372,Eikenella sp. NML97-A-109 NML97-A-109,Eikenella sp. NML080894 NML080894,Eikenella sp. HMSC061C02 HMSC061C02,Eikenella halliae NML130454,Eikenella corrodens EI 01,Eikenella sp. NML120348 NML120348,Eikenella sp. HMSC073A11 HMSC073A11,Eikenella corrodens KCOM 1378,Eikenella corrodens NML130388,Eikenella corrodens EI 05,Eikenella corrodens NML04-0072,Eikenella corrodens NML140207,Eikenella corrodens 491 NMEN,Eikenella glucosivorans S3360,Eikenella corrodens NML01-0328,Eikenella corrodens EI 04,Eikenella corrodens NML01-0040,Eikenella corrodens EI 06,Eikenella sp. NML01-A-086 NML01-A-086,Eikenella exigua EI 02,Eikenella corrodens EI 03,Eikenella corrodens EI 08,Eikenella sp. HMSC071B05 HMSC071B05,Eikenella corrodens KCOM 3110,Eikenella corrodens EI 09,Eikenella corrodens NML120819,Eikenella corrodens NCTC10596,Eikenella corrodens CC92I CC92I,Eikenella sp. Marseille-P7795 Marseille-P7795,Kingella sp. CICC 24913 CICC 24913,Conchiformibius kuhniae DSM 17694 DSM 17694,Conchiformibius steedae COT-280,Conchiformibius steedae DSM 2580 DSM 2580,Conchiformibius steedae DSM 2580,Kingella denitrificans GC77,Kingella denitrificans ATCC 33394 ATCC 33394,Kingella denitrificans FDAARGOS 1060,Kingella denitrificans NCTC10995,Kingella bonacorsii Marseille-Q4569,Kingella oralis DSM 18271,Kingella oralis ATCC 51147 ATCC 51147,Alysiella filiformis DSM 16848,Alysiella filiformis DSM 16848 DSM 16848,Simonsiella muelleri ATCC 29453,Simonsiella muelleri DSM 2579,Alysiella crassa S6,Alysiella crassa NCTC10283,Alysiella crassa DSM 2578 DSM 2578,Kingella negevensis kingella eburonensis,Kingella negevensis Pharynx,Kingella negevensis SW7208426,Kingella kingae PV1748 PV1748,Kingella kingae KK113 KK113,Kingella kingae KK245 KK245,Kingella kingae BB114 BB114,Kingella kingae KK274,Kingella kingae NCTC10746,Kingella kingae ATCC 23332,Kingella kingae KK83 KK83,Kingella kingae 11220434 11220434,Kingella kingae KK12 KK12,Kingella kingae KK101 KK101,Kingella kingae KK260 KK260,Kingella kingae KK145 KK145,Kingella kingae KK156 KK156,Kingella kingae KK107 KK107,Kingella kingae KK6 KK6,Kingella kingae AA417 AA417,Kingella kingae KK411 KK411,Kingella kingae KK274 KK274,Kingella kingae KK199 KK199,Kingella kingae KK242 KK242,Kingella kingae CC254 CC254,Kingella kingae KK171 KK171,Kingella kingae KK3 KK3,Kingella kingae Vir5453 Vir5453,Kingella kingae BB631 BB631,Kingella kingae D2363 D2363,Kingella kingae BB060 BB060,Kingella kingae KK60 KK60,Kingella kingae KK88 KK88,Kingella kingae ATCC 23330 ATCC 23330,Kingella kingae 4177 66,Kingella kingae NCTC10529,Kingella kingae KK189 KK189,Kingella kingae KK141 KK141,Kingella kingae KK75 KK75,Kingella kingae AA068 AA068,Kingella kingae KK158 KK158,Kingella kingae KK56 KK56,Kingella kingae AA255 AA255,Kingella kingae AA105 AA105,Kingella kingae KK238 KK238,Kingella kingae BB016 BB016,Kingella kingae KK97 KK97,Kingella kingae KK93 KK93,Kingella kingae KK190 KK190,Kingella kingae KK128 KK128,Kingella kingae ATCC 23331,Kingella kingae PYKK081 PYKK081,Kingella kingae D7330 D7330,Kingella kingae chl4475,Kingella kingae chl3548,Kingella kingae chl2764,Kingella kingae F41215CHC
Neisseria elongata C2011003085,100,96.274994,96.277428,96.108673,96.28537,96.076607,96.148163,95.962265,95.96109,96.265244,96.083206,96.029709,80.754044,80.506546,82.139633,81.599274,81.673523,81.665649,78.514931,78.612694,79.803444,80.478844,80.485123,81.973297,81.848282,80.828445,80.83902,80.994858,80.718185,80.765289,80.713135,80.802254,80.646591,80.699234,80.845413,81.812584,81.743469,82.031822,82.125061,82.000824,81.791138,82.068253,82.070473,81.784729,82.294983,81.997726,82.26519,81.903915,81.994011,82.144386,82.093201,81.977478,82.225189,82.229599,81.933464,81.975639,81.790504,81.863968,79.882614,77.853615,74,77.739166,77.669083,80.743988,80.818542,81.126022,81.072205,78.517014,78.200439,78.307816,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Neisseria elongata subsp. glycolytica 431 NMEN,96.274994,100,99.997177,96.027847,96.238243,96.052261,96.029816,95.816788,95.877991,96.270012,96.003426,96.015022,80.8414,80.770813,81.37999,81.565224,81.471878,81.541214,78.576172,78.685165,79.936508,80.123314,80.173935,82.139847,81.581169,80.745613,80.643356,80.951874,80.40638,80.588104,80.58564,80.402115,80.501846,80.466545,80.419479,81.48983,81.500946,81.705711,81.569603,81.7742,81.718521,81.760292,81.6241,81.656021,81.815689,81.919479,81.797737,81.726151,81.631187,81.751434,81.732529,81.914261,81.825043,81.691528,82.068878,81.976944,81.766968,81.930725,80.04509,77.672577,74,78.005196,74,80.591339,80.731056,81.170441,80.959198,78.527176,78.46106,78.440079,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Neisseria elongata subsp. glycolytica 404 NMEN,96.277428,99.997177,100,96.043297,96.242004,96.072464,96.033493,95.83609,95.884598,96.228531,96.017181,96.063217,80.763077,80.692253,81.361717,81.516823,81.47168,81.564552,78.584824,78.641777,79.90152,80.056343,80.216797,82.120796,81.678192,80.683578,80.640869,80.900246,80.384964,80.620041,80.605629,80.505142,80.640198,80.545395,80.52002,81.593529,81.577911,81.916214,81.570595,81.862122,81.80043,81.770676,81.793068,81.779915,81.936493,81.912552,82.008377,81.711197,81.771103,81.797142,81.825851,81.984833,81.896851,81.752,82.07869,82.067932,81.901169,81.983994,80.051834,77.740471,74,77.794647,74,80.566116,80.65451,80.934441,80.872154,78.619698,78.444565,78.410866,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Neisseria elongata subsp. elongata ATCC 25295,96.108673,96.027847,96.043297,100,96.123619,96.4478,96.319557,96.328987,96.375916,96.133972,99.979828,99.981293,80.558571,80.557266,81.753815,81.627045,81.594803,81.521049,78.58168,78.629097,79.84874,80.230545,80.353714,81.598801,81.588104,80.492722,80.49395,80.70668,80.475433,80.306244,80.384193,80.406151,80.371796,80.393364,80.259933,81.713776,81.845459,81.81443,81.777145,81.649826,81.678452,81.773453,81.605392,81.629684,81.975357,81.804276,81.737015,81.720383,81.6474,81.66716,81.609596,81.748108,81.904984,81.801857,81.575348,81.869034,81.79097,81.940674,79.897186,77.676483,77.213074,77.735855,77.759506,80.830788,81.104378,81.298416,81.240402,78.623886,78.32962,78.369827,74,74,74,74,74,74,74,74,74,74,76.672913,74,74,76.669838,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Neisseria elongata subsp. glycolytica NCTC11050,96.28537,96.238243,96.242004,96.123619,100,96.159019,96.212097,95.962227,95.967834,99.996902,96.177246,96.110138,80.855164,80.819733,81.946884,81.733849,81.987251,81.843567,78.601593,78.576889,79.733459,80.0261,80.383728,81.617554,81.7556,80.704941,80.714523,80.828766,80.513794,80.777962,80.612366,80.523506,80.504601,80.531891,80.573189,81.642014,81.738396,81.758087,81.707092,81.774963,81.551956,81.951698,81.877075,81.635956,82.107018,82.219116,82.216232,81.842789,81.990341,81.86087,81.841827,82.011909,82.029594,81.985748,81.709534,82.216522,82.009003,82.196487,80.17392,77.584671,77.185944,77.851334,77.882141,80.589043,80.829453,81.178764,81.142242,78.915016,78.924759,78.734222,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Neisseria elongata M15910,96.076607,96.052261,96.072464,96.4478,96.159019,100,96.199402,96.086563,96.308296,96.103432,96.430618,96.428322,80.879196,80.80043,82.06353,81.923515,81.972672,81.864006,78.876465,78.597168,79.650467,80.352783,80.204803,81.837067,82.147385,80.737244,80.7043,80.898102,80.559799,80.97377,80.931229,80.641464,80.453613,80.598145,80.501785,81.598007,81.554276,81.861267,81.7771,82.134216,81.626038,81.800064,81.70697,81.837173,82.160652,82.080643,82.094139,81.81575,81.925819,82.024963,81.938293,81.823624,82.256577,82.172745,81.888321,82.051529,81.796051,82.064514,80.05127,77.607971,77.307426,78.022095,77.970657,80.729477,81.06575,81.559235,81.462128,78.763031,78.387657,78.374237,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,76.827881,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Neisseria elongata subsp. glycolytica 1279 NMEN,96.148163,96.029816,96.033493,96.319557,96.212097,96.199402,100,96.264511,96.471306,96.239578,96.310661,96.23317,80.95005,80.81395,81.670921,81.533295,81.764839,81.666428,78.826073,78.587082,79.681747,80.30481,80.341095,81.362877,82.1091,80.554367,80.491241,81.129166,80.88694,81.294769,80.725647,80.555573,80.954712,80.991211,81.029709,81.429474,81.517731,82.016571,81.863457,81.942596,81.635895,81.830147,81.631317,81.774094,82.025261,81.892166,81.8125,81.627884,81.805717,81.788094,82.331108,81.692139,81.667732,82.370529,81.897141,81.900101,81.857742,81.981323,79.801201,77.630371,77.101707,77.707504,77.599991,80.443222,80.670792,81.005653,80.861519,79.141266,78.566208,78.614494,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Neisseria elongata C2013018262,95.962265,95.816788,95.83609,96.328987,95.962227,96.086563,96.264511,100,97.048843,95.923325,96.364639,96.392036,80.747467,80.688194,82.125061,81.785431,81.951584,81.881035,78.778397,78.769791,79.698555,80.281067,80.448334,81.508728,82.018593,80.64389,80.669586,80.649223,80.57164,80.789673,80.770721,80.581352,80.691391,80.673378,80.708694,81.84079,81.780716,81.713913,81.83815,81.63002,81.53157,81.734528,81.642685,81.872429,81.876923,82.057861,82.381149,81.783905,81.89193,82.322731,82.187,82.000946,81.89386,81.816231,81.626328,81.909447,81.593124,81.924973,80.003693,77.726372,77.141937,77.625092,77.636024,80.58992,80.738159,80.904518,81.017456,78.95752,78.340042,78.367462,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Neisseria elongata C2014003241,95.96109,95.877991,95.884598,96.375916,95.967834,96.308296,96.471306,97.048843,100,95.938873,96.344971,96.427536,80.709854,80.601227,82.627335,81.785355,81.917633,81.866623,78.770523,78.751465,79.868484,80.421158,80.547577,81.739311,81.888428,80.788651,80.620239,80.694336,80.67141,80.648651,80.615692,80.631683,80.779617,80.791,80.67749,81.863434,81.903648,82.054611,81.890335,81.762375,81.845947,81.886971,81.896759,81.731979,82.012695,81.861801,82.020142,81.863503,81.935349,82.069283,81.875015,81.753998,81.947174,82.11412,81.761017,81.88533,81.686127,81.893143,80.102921,77.737045,77.274391,77.990746,77.919044,80.695969,81.382584,81.412079,81.415329,78.449066,78.446182,78.566345,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Neisseria elongata subsp. glycolytica ATCC 29315 ATCC 29315,96.265244,96.270012,96.228531,96.133972,99.996902,96.103432,96.239578,95.923325,95.938873,100,96.106232,96.097763,80.867569,80.805527,82.084,81.735367,81.884407,81.842026,78.620529,78.627609,79.892715,80.083389,80.373665,81.71701,82.017883,80.811852,80.840546,80.970222,80.690125,80.746033,80.693314,80.518097,80.501785,80.566406,80.537865,81.837761,81.800926,81.876862,81.825935,81.92411,81.653725,82.059166,81.820168,81.603516,82.183197,82.202805,82.189865,81.948822,82.118469,81.998856,81.988861,81.967941,82.005875,82.114197,81.819977,82.156723,81.886536,82.062271,80.13501,77.642532,77.191132,77.980667,77.911453,80.614319,80.795456,81.109848,81.056915,78.911095,78.879379,78.763184,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
